temperature,count
-40,62
-39,62
-38,64
-37,63
-36,65
-35,66
-34,68
-33,67
-32,68
-31,69
-30,70
-29,87
-28,87
-27,72
-26,75
-25,75
-24,75
-23,75
-22,78
-21,78
-20,80
-19,79
-18,81
-17,81
-16,82
-15,84
-14,83
-13,84
-12,86
-11,87
-10,88
-9,89
-8,89
-7,90
-6,91
-5,92
-4,92
-3,92
-2,95
-1,95
0,95
1,97
2,97
3,97
4,99
5,99
6,101
7,102
8,102
9,104
10,105
11,104
12,106
13,107
14,108
15,109
16,108
17,109
18,110
19,111
20,112
21,112
22,115
23,116
24,116
25,117
26,117
27,119
28,120
29,120
30,120
31,122
32,122
33,124
34,124
35,126
36,126
37,128
38,127
39,129
40,129
41,130
42,132
43,132
44,133
45,134
46,134
47,151
48,136
49,138
50,139
51,138
52,139
53,140
54,141
55,142
56,143
57,144
58,145
59,146
60,147
61,148
62,148
63,149
64,150
65,151
66,151
67,152
68,152
69,155
70,156
71,156
72,157
73,157
74,158
75,160
76,160
77,161
78,161
79,163
80,164
81,164
82,164
83,183
84,183
85,183
86,169
87,170
88,170
89,172
90,172
91,172
92,175
93,175
94,175
95,177
96,177
97,177
98,179
99,180
100,180
101,182
102,182
103,184
104,184
105,184
106,187
107,187
108,187
109,189
110,189
111,189
112,191
113,191
114,194
115,194
116,194
117,196
118,196
119,197
120,215
121,215
122,215
123,200
124,202
125,202
