temperature,count
-40,116
-39,117
-38,118
-37,118
-36,119
-35,121
-34,120
-33,121
-32,122
-31,123
-30,124
-29,125
-28,126
-27,126
-26,127
-25,129
-24,129
-23,130
-22,132
-21,133
-20,133
-19,134
-18,134
-17,134
-16,136
-15,137
-14,137
-13,138
-12,140
-11,139
-10,140
-9,141
-8,141
-7,143
-6,144
-5,145
-4,145
-3,146
-2,147
-1,147
0,149
1,148
2,151
3,151
4,152
5,152
6,152
7,153
8,153
9,155
10,156
11,156
12,157
13,157
14,159
15,160
16,159
17,160
18,163
19,162
20,164
21,163
22,166
23,165
24,165
25,167
26,167
27,168
28,168
29,169
30,170
31,170
32,172
33,173
34,173
35,173
36,174
37,176
38,177
39,176
40,177
41,178
42,179
43,180
44,181
45,180
46,181
47,182
48,182
49,184
50,185
51,184
52,186
53,187
54,186
55,187
56,187
57,188
58,189
59,190
60,190
61,190
62,191
63,192
64,193
65,193
66,193
67,195
68,196
69,195
70,196
71,198
72,197
73,199
74,199
75,200
76,200
77,201
78,201
79,202
80,203
81,202
82,203
83,205
84,204
85,205
86,206
87,206
88,207
89,208
90,209
91,208
92,209
93,210
94,211
95,211
96,212
97,212
98,212
99,214
100,213
101,215
102,214
103,215
104,216
105,216
106,216
107,217
108,219
109,218
110,218
111,218
112,220
113,220
114,220
115,221
116,223
117,222
118,223
119,224
120,224
121,225
122,226
123,226
124,225
125,226
