temperature,count
-40,92
-39,93
-38,93
-37,94
-36,95
-35,95
-34,96
-33,97
-32,98
-31,99
-30,100
-29,101
-28,101
-27,101
-26,102
-25,104
-24,103
-23,105
-22,105
-21,105
-20,107
-19,107
-18,109
-17,109
-16,109
-15,110
-14,111
-13,112
-12,113
-11,114
-10,113
-9,115
-8,115
-7,117
-6,118
-5,117
-4,118
-3,120
-2,120
-1,121
0,121
1,121
2,123
3,123
4,124
5,123
6,126
7,126
8,126
9,126
10,127
11,129
12,129
13,130
14,131
15,131
16,132
17,133
18,132
19,134
20,135
21,134
22,135
23,135
24,136
25,137
26,138
27,138
28,140
29,140
30,141
31,140
32,142
33,142
34,142
35,144
36,145
37,144
38,145
39,147
40,146
41,146
42,148
43,149
44,149
45,150
46,150
47,151
48,152
49,151
50,152
51,153
52,154
53,154
54,155
55,154
56,156
57,157
58,156
59,157
60,158
61,159
62,158
63,159
64,160
65,161
66,161
67,161
68,163
69,163
70,163
71,165
72,164
73,165
74,166
75,166
76,166
77,168
78,168
79,169
80,168
81,169
82,171
83,171
84,170
85,171
86,172
87,172
88,173
89,173
90,173
91,176
92,175
93,176
94,175
95,177
96,177
97,178
98,178
99,178
100,179
101,179
102,179
103,180
104,181
105,182
106,181
107,182
108,183
109,184
110,184
111,183
112,184
113,186
114,186
115,186
116,186
117,186
118,187
119,188
120,187
121,188
122,190
123,189
124,190
125,189
