temperature,count
-40,221
-39,223
-38,223
-37,223
-36,223
-35,225
-34,225
-33,226
-32,227
-31,228
-30,229
-29,229
-28,230
-27,231
-26,231
-25,232
-24,232
-23,234
-22,235
-21,234
-20,234
-19,235
-18,236
-17,236
-16,238
-15,237
-14,239
-13,239
-12,239
-11,240
-10,242
-9,242
-8,242
-7,243
-6,245
-5,244
-4,244
-3,245
-2,246
-1,247
0,248
1,248
2,249
3,249
4,250
5,251
6,252
7,252
8,253
9,253
10,254
11,254
12,254
13,255
14,256
15,257
16,258
17,257
18,258
19,259
20,259
21,260
22,262
23,261
24,262
25,262
26,263
27,265
28,264
29,265
30,266
31,265
32,266
33,267
34,267
35,268
36,268
37,268
38,270
39,270
40,271
41,271
42,272
43,272
44,273
45,273
46,275
47,274
48,275
49,276
50,277
51,277
52,276
53,277
54,278
55,279
56,278
57,280
58,281
59,281
60,281
61,281
62,281
63,282
64,283
65,283
66,283
67,285
68,284
69,285
70,285
71,287
72,287
73,287
74,289
75,289
76,289
77,290
78,290
79,290
80,291
81,290
82,291
83,292
84,293
85,294
86,293
87,294
88,294
89,295
90,295
91,296
92,296
93,297
94,297
95,296
96,298
97,297
98,299
99,298
100,300
101,299
102,300
103,301
104,300
105,301
106,302
107,302
108,302
109,304
110,304
111,303
112,305
113,305
114,305
115,305
116,305
117,307
118,307
119,307
120,306
121,308
122,309
123,308
124,308
125,310
