temperature,count
-40,108
-39,109
-38,110
-37,111
-36,111
-35,112
-34,114
-33,114
-32,116
-31,116
-30,117
-29,119
-28,120
-27,120
-26,123
-25,124
-24,124
-23,126
-22,127
-21,129
-20,128
-19,129
-18,132
-17,133
-16,133
-15,135
-14,135
-13,136
-12,138
-11,139
-10,140
-9,142
-8,142
-7,142
-6,144
-5,146
-4,147
-3,148
-2,148
-1,151
0,151
1,153
2,154
3,155
4,156
5,157
6,157
7,159
8,161
9,160
10,161
11,164
12,165
13,165
14,167
15,168
16,169
17,170
18,171
19,173
20,173
21,174
22,175
23,176
24,178
25,178
26,180
27,182
28,183
29,183
30,184
31,186
32,187
33,188
34,189
35,190
36,190
37,191
38,193
39,194
40,194
41,196
42,198
43,197
44,200
45,201
46,201
47,202
48,204
49,205
50,205
51,207
52,209
53,210
54,211
55,211
56,213
57,212
58,214
59,216
60,216
61,218
62,219
63,220
64,220
65,222
66,224
67,225
68,225
69,227
70,227
71,228
72,230
73,231
74,232
75,233
76,234
77,234
78,236
79,237
80,238
81,238
82,240
83,241
84,242
85,244
86,244
87,245
88,248
89,248
90,249
91,250
92,251
93,251
94,253
95,254
96,0
97,0
98,1
99,2
100,4
101,4
102,5
103,6
104,8
105,9
106,10
107,10
108,12
109,13
110,14
111,16
112,15
113,18
114,19
115,20
116,21
117,22
118,22
119,23
120,24
121,26
122,27
123,28
124,28
125,30
