temperature,count
-40,66
-39,66
-38,67
-37,68
-36,69
-35,70
-34,70
-33,71
-32,72
-31,72
-30,73
-29,73
-28,75
-27,74
-26,76
-25,77
-24,78
-23,78
-22,78
-21,79
-20,79
-19,79
-18,80
-17,82
-16,82
-15,83
-14,84
-13,84
-12,85
-11,86
-10,87
-9,87
-8,87
-7,88
-6,88
-5,90
-4,90
-3,91
-2,92
-1,92
0,92
1,93
2,94
3,95
4,95
5,97
6,97
7,98
8,97
9,98
10,100
11,100
12,100
13,100
14,101
15,102
16,102
17,103
18,103
19,105
20,105
21,105
22,106
23,107
24,107
25,108
26,107
27,109
28,110
29,110
30,111
31,111
32,112
33,112
34,114
35,114
36,114
37,116
38,115
39,115
40,117
41,117
42,117
43,119
44,118
45,120
46,119
47,121
48,120
49,121
50,122
51,123
52,122
53,123
54,123
55,126
56,126
57,126
58,127
59,127
60,128
61,127
62,128
63,128
64,131
65,131
66,130
67,132
68,133
69,133
70,134
71,133
72,133
73,134
74,135
75,136
76,136
77,137
78,137
79,137
80,138
81,139
82,139
83,140
84,140
85,140
86,141
87,142
88,143
89,142
90,144
91,144
92,144
93,144
94,145
95,145
96,147
97,146
98,146
99,148
100,147
101,147
102,149
103,150
104,150
105,150
106,151
107,151
108,152
109,153
110,153
111,154
112,154
113,153
114,154
115,156
116,155
117,155
118,156
119,156
120,158
121,158
122,158
123,159
124,159
125,160
