temperature,count
-40,27
-39,28
-38,28
-37,29
-36,30
-35,30
-34,31
-33,31
-32,33
-31,33
-30,34
-29,33
-28,35
-27,35
-26,35
-25,36
-24,37
-23,38
-22,38
-21,40
-20,40
-19,41
-18,41
-17,43
-16,42
-15,44
-14,43
-13,44
-12,44
-11,44
-10,45
-9,46
-8,47
-7,47
-6,48
-5,50
-4,49
-3,49
-2,51
-1,52
0,52
1,52
2,53
3,53
4,54
5,54
6,55
7,56
8,56
9,57
10,58
11,59
12,59
13,60
14,61
15,61
16,62
17,62
18,63
19,63
20,63
21,63
22,63
23,65
24,65
25,67
26,66
27,68
28,67
29,68
30,68
31,69
32,69
33,69
34,71
35,71
36,72
37,71
38,72
39,73
40,73
41,75
42,75
43,76
44,75
45,76
46,78
47,78
48,78
49,79
50,80
51,80
52,80
53,81
54,81
55,81
56,82
57,83
58,83
59,83
60,84
61,86
62,85
63,86
64,86
65,88
66,87
67,87
68,87
69,89
70,90
71,90
72,90
73,91
74,91
75,91
76,92
77,92
78,92
79,93
80,94
81,95
82,94
83,95
84,96
85,97
86,97
87,96
88,97
89,99
90,98
91,100
92,99
93,100
94,101
95,100
96,102
97,101
98,102
99,103
100,104
101,103
102,104
103,104
104,105
105,105
106,106
107,106
108,107
109,107
110,108
111,108
112,109
113,109
114,110
115,110
116,111
117,111
118,112
119,111
120,112
121,112
122,112
123,113
124,114
125,115
