temperature,count
-40,205
-39,206
-38,206
-37,207
-36,207
-35,206
-34,207
-33,207
-32,206
-31,208
-30,207
-29,208
-28,209
-27,208
-26,209
-25,210
-24,209
-23,209
-22,209
-21,210
-20,210
-19,212
-18,211
-17,211
-16,212
-15,212
-14,213
-13,214
-12,214
-11,215
-10,216
-9,217
-8,217
-7,217
-6,217
-5,217
-4,219
-3,220
-2,220
-1,221
0,220
1,222
2,223
3,222
4,225
5,224
6,226
7,227
8,227
9,227
10,228
11,228
12,230
13,230
14,231
15,232
16,233
17,234
18,235
19,237
20,236
21,238
22,239
23,240
24,241
25,241
26,242
27,242
28,243
29,246
30,247
31,247
32,249
33,250
34,251
35,252
36,252
37,254
38,256
39,256
40,258
41,258
42,260
43,261
44,262
45,264
46,264
47,265
48,267
49,268
50,270
51,271
52,273
53,274
54,275
55,277
56,278
57,280
58,280
59,281
60,284
61,284
62,287
63,288
64,289
65,290
66,292
67,295
68,296
69,297
70,298
71,299
72,302
73,303
74,304
75,306
76,309
77,309
78,312
79,313
80,315
81,316
82,317
83,320
84,322
85,323
86,325
87,327
88,329
89,330
90,331
91,334
92,337
93,338
94,339
95,341
96,342
97,345
98,346
99,349
100,350
101,352
102,354
103,358
104,359
105,361
106,362
107,364
108,366
109,368
110,371
111,372
112,374
113,377
114,380
115,382
116,383
117,386
118,389
119,390
120,391
121,395
122,398
123,398
124,402
125,404
