temperature,count
-40,179
-39,180
-38,181
-37,181
-36,181
-35,181
-34,182
-33,181
-32,181
-31,182
-30,183
-29,182
-28,183
-27,182
-26,184
-25,184
-24,184
-23,185
-22,185
-21,185
-20,186
-19,186
-18,187
-17,186
-16,187
-15,187
-14,188
-13,189
-12,188
-11,190
-10,190
-9,191
-8,191
-7,192
-6,192
-5,193
-4,194
-3,193
-2,195
-1,196
0,196
1,196
2,197
3,198
4,199
5,199
6,200
7,201
8,202
9,201
10,203
11,203
12,203
13,205
14,206
15,206
16,208
17,207
18,208
19,210
20,211
21,211
22,213
23,212
24,214
25,214
26,216
27,217
28,217
29,218
30,220
31,220
32,221
33,222
34,222
35,223
36,225
37,226
38,226
39,227
40,230
41,229
42,230
43,233
44,233
45,234
46,235
47,236
48,237
49,240
50,240
51,241
52,241
53,244
54,245
55,247
56,247
57,249
58,250
59,251
60,251
61,252
62,254
63,257
64,257
65,259
66,259
67,260
68,263
69,265
70,266
71,266
72,269
73,269
74,271
75,272
76,273
77,275
78,276
79,278
80,279
81,281
82,282
83,284
84,285
85,287
86,287
87,291
88,292
89,293
90,295
91,295
92,297
93,300
94,302
95,303
96,304
97,306
98,307
99,309
100,312
101,312
102,315
103,315
104,317
105,320
106,320
107,323
108,324
109,327
110,329
111,331
112,331
113,333
114,335
115,337
116,339
117,342
118,343
119,344
120,346
121,349
122,351
123,353
124,354
125,357
