temperature,count
-40,178
-39,179
-38,179
-37,180
-36,180
-35,181
-34,183
-33,183
-32,183
-31,185
-30,184
-29,186
-28,187
-27,187
-26,187
-25,188
-24,188
-23,189
-22,191
-21,191
-20,192
-19,192
-18,192
-17,194
-16,194
-15,194
-14,196
-13,198
-12,198
-11,198
-10,199
-9,200
-8,199
-7,201
-6,201
-5,202
-4,202
-3,202
-2,203
-1,204
0,204
1,207
2,207
3,207
4,207
5,209
6,208
7,209
8,209
9,212
10,212
11,212
12,213
13,213
14,214
15,214
16,216
17,215
18,217
19,217
20,218
21,219
22,218
23,220
24,220
25,220
26,221
27,222
28,223
29,224
30,224
31,225
32,225
33,226
34,226
35,227
36,228
37,229
38,228
39,229
40,231
41,230
42,230
43,232
44,232
45,232
46,234
47,235
48,235
49,235
50,236
51,236
52,237
53,237
54,238
55,238
56,239
57,239
58,240
59,240
60,241
61,243
62,243
63,243
64,243
65,243
66,245
67,245
68,247
69,246
70,248
71,247
72,248
73,249
74,249
75,250
76,250
77,250
78,252
79,251
80,252
81,254
82,254
83,255
84,255
85,255
86,256
87,256
88,257
89,257
90,258
91,257
92,259
93,260
94,259
95,259
96,261
97,261
98,262
99,263
100,263
101,263
102,264
103,265
104,265
105,265
106,266
107,267
108,267
109,267
110,268
111,269
112,269
113,269
114,270
115,270
116,272
117,271
118,271
119,273
120,272
121,273
122,273
123,274
124,275
125,274
