temperature,count
-40,166
-39,168
-38,168
-37,168
-36,170
-35,170
-34,170
-33,171
-32,172
-31,173
-30,172
-29,175
-28,174
-27,175
-26,175
-25,177
-24,176
-23,178
-22,178
-21,179
-20,180
-19,180
-18,182
-17,182
-16,181
-15,183
-14,183
-13,184
-12,185
-11,186
-10,186
-9,186
-8,187
-7,188
-6,188
-5,190
-4,190
-3,191
-2,192
-1,191
0,193
1,193
2,193
3,194
4,195
5,195
6,196
7,196
8,197
9,197
10,198
11,199
12,199
13,200
14,200
15,201
16,203
17,203
18,202
19,203
20,204
21,206
22,205
23,207
24,207
25,207
26,207
27,210
28,210
29,211
30,211
31,210
32,211
33,212
34,213
35,212
36,214
37,215
38,214
39,216
40,217
41,216
42,218
43,217
44,219
45,218
46,220
47,219
48,221
49,222
50,221
51,223
52,224
53,223
54,224
55,225
56,226
57,227
58,227
59,228
60,228
61,229
62,229
63,229
64,231
65,230
66,230
67,231
68,232
69,233
70,232
71,233
72,235
73,235
74,235
75,236
76,236
77,237
78,238
79,238
80,238
81,238
82,240
83,239
84,240
85,241
86,242
87,242
88,243
89,243
90,244
91,244
92,244
93,244
94,246
95,247
96,247
97,248
98,247
99,249
100,249
101,250
102,250
103,249
104,250
105,251
106,251
107,253
108,254
109,254
110,254
111,254
112,254
113,255
114,255
115,256
116,257
117,257
118,258
119,257
120,259
121,259
122,260
123,261
124,260
125,262
