temperature,count
-40,188
-39,189
-38,191
-37,191
-36,194
-35,193
-34,195
-33,195
-32,197
-31,198
-30,198
-29,200
-28,201
-27,202
-26,201
-25,203
-24,204
-23,204
-22,206
-21,208
-20,208
-19,209
-18,210
-17,210
-16,212
-15,212
-14,213
-13,215
-12,215
-11,217
-10,218
-9,217
-8,218
-7,220
-6,221
-5,222
-4,223
-3,223
-2,225
-1,225
0,226
1,227
2,227
3,229
4,230
5,231
6,232
7,232
8,234
9,234
10,235
11,236
12,238
13,237
14,240
15,240
16,241
17,241
18,243
19,243
20,245
21,246
22,247
23,246
24,248
25,248
26,249
27,250
28,251
29,252
30,254
31,254
32,255
33,255
34,256
35,258
36,259
37,259
38,260
39,262
40,263
41,262
42,264
43,266
44,266
45,266
46,269
47,270
48,269
49,270
50,272
51,272
52,274
53,275
54,275
55,276
56,278
57,277
58,279
59,279
60,281
61,282
62,282
63,283
64,285
65,284
66,286
67,286
68,288
69,288
70,289
71,289
72,290
73,291
74,293
75,294
76,294
77,296
78,296
79,297
80,297
81,298
82,299
83,300
84,301
85,303
86,302
87,304
88,304
89,306
90,307
91,307
92,308
93,308
94,309
95,310
96,312
97,313
98,315
99,314
100,316
101,316
102,318
103,318
104,318
105,321
106,321
107,322
108,323
109,324
110,325
111,326
112,327
113,326
114,328
115,329
116,329
117,330
118,332
119,332
120,334
121,334
122,334
123,336
124,336
125,336
