temperature,count
-40,31
-39,31
-38,33
-37,35
-36,36
-35,36
-34,38
-33,38
-32,39
-31,42
-30,42
-29,43
-28,44
-27,45
-26,46
-25,47
-24,48
-23,50
-22,51
-21,51
-20,53
-19,54
-18,54
-17,55
-16,56
-15,58
-14,59
-13,61
-12,60
-11,62
-10,63
-9,64
-8,65
-7,66
-6,67
-5,68
-4,69
-3,70
-2,71
-1,71
0,73
1,75
2,75
3,75
4,76
5,77
6,79
7,80
8,80
9,82
10,81
11,83
12,84
13,85
14,86
15,87
16,88
17,89
18,89
19,90
20,91
21,93
22,93
23,95
24,94
25,96
26,98
27,98
28,99
29,100
30,101
31,102
32,102
33,104
34,105
35,106
36,106
37,107
38,109
39,108
40,110
41,111
42,111
43,113
44,113
45,115
46,115
47,115
48,117
49,117
50,119
51,119
52,120
53,120
54,122
55,123
56,124
57,125
58,124
59,127
60,127
61,127
62,129
63,129
64,130
65,131
66,132
67,132
68,134
69,133
70,134
71,135
72,137
73,136
74,137
75,138
76,140
77,140
78,140
79,143
80,143
81,144
82,144
83,146
84,145
85,147
86,147
87,148
88,148
89,149
90,150
91,151
92,152
93,152
94,153
95,154
96,155
97,155
98,157
99,157
100,157
101,157
102,159
103,159
104,160
105,160
106,162
107,162
108,162
109,164
110,165
111,166
112,166
113,167
114,166
115,167
116,168
117,170
118,170
119,171
120,171
121,171
122,172
123,173
124,173
125,174
