temperature,count
-40,144
-39,146
-38,146
-37,147
-36,148
-35,148
-34,147
-33,148
-32,149
-31,149
-30,150
-29,151
-28,151
-27,152
-26,151
-25,151
-24,153
-23,154
-22,154
-21,154
-20,155
-19,155
-18,155
-17,156
-16,156
-15,158
-14,156
-13,159
-12,158
-11,158
-10,160
-9,159
-8,159
-7,161
-6,162
-5,161
-4,162
-3,162
-2,164
-1,164
0,164
1,165
2,165
3,166
4,166
5,167
6,167
7,166
8,167
9,168
10,169
11,168
12,169
13,170
14,169
15,171
16,171
17,171
18,171
19,173
20,173
21,173
22,173
23,174
24,174
25,175
26,175
27,176
28,176
29,177
30,176
31,176
32,177
33,177
34,178
35,178
36,178
37,179
38,179
39,180
40,180
41,182
42,181
43,183
44,183
45,182
46,182
47,183
48,184
49,184
50,185
51,184
52,186
53,186
54,186
55,185
56,186
57,187
58,187
59,189
60,188
61,189
62,189
63,189
64,190
65,190
66,190
67,190
68,191
69,191
70,191
71,192
72,193
73,192
74,194
75,194
76,195
77,194
78,195
79,195
80,196
81,196
82,195
83,197
84,197
85,197
86,197
87,198
88,199
89,198
90,198
91,200
92,200
93,201
94,199
95,200
96,201
97,201
98,200
99,202
100,202
101,203
102,203
103,204
104,202
105,203
106,204
107,203
108,205
109,204
110,206
111,205
112,205
113,207
114,207
115,206
116,206
117,206
118,206
119,208
120,208
121,208
122,208
123,208
124,208
125,210
