temperature,count
-40,131
-39,131
-38,131
-37,133
-36,133
-35,133
-34,133
-33,135
-32,134
-31,135
-30,136
-29,137
-28,136
-27,137
-26,137
-25,138
-24,138
-23,139
-22,140
-21,139
-20,140
-19,141
-18,142
-17,142
-16,142
-15,142
-14,143
-13,143
-12,144
-11,144
-10,145
-9,144
-8,145
-7,145
-6,146
-5,146
-4,147
-3,147
-2,148
-1,149
0,148
1,150
2,150
3,150
4,150
5,151
6,152
7,151
8,153
9,152
10,153
11,154
12,154
13,154
14,155
15,155
16,156
17,156
18,156
19,158
20,158
21,157
22,159
23,159
24,158
25,158
26,159
27,159
28,159
29,161
30,160
31,161
32,162
33,162
34,163
35,163
36,163
37,164
38,163
39,164
40,165
41,166
42,166
43,165
44,167
45,167
46,168
47,167
48,167
49,168
50,169
51,169
52,170
53,169
54,170
55,171
56,171
57,171
58,171
59,171
60,172
61,172
62,174
63,174
64,173
65,175
66,175
67,175
68,175
69,176
70,176
71,177
72,177
73,177
74,177
75,177
76,178
77,179
78,178
79,178
80,178
81,179
82,180
83,180
84,182
85,182
86,180
87,181
88,183
89,182
90,182
91,183
92,183
93,184
94,183
95,185
96,185
97,185
98,185
99,186
100,185
101,186
102,186
103,187
104,187
105,188
106,188
107,189
108,189
109,189
110,190
111,189
112,189
113,191
114,191
115,191
116,191
117,192
118,192
119,191
120,192
121,193
122,192
123,193
124,193
125,194
