temperature,count
-40,152
-39,154
-38,153
-37,154
-36,154
-35,155
-34,155
-33,155
-32,156
-31,155
-30,156
-29,156
-28,157
-27,158
-26,158
-25,158
-24,159
-23,159
-22,160
-21,159
-20,160
-19,161
-18,162
-17,161
-16,162
-15,161
-14,162
-13,162
-12,164
-11,164
-10,165
-9,164
-8,165
-7,165
-6,166
-5,167
-4,168
-3,167
-2,168
-1,169
0,169
1,171
2,171
3,172
4,172
5,172
6,172
7,175
8,173
9,174
10,176
11,177
12,177
13,178
14,178
15,178
16,180
17,180
18,182
19,182
20,182
21,182
22,184
23,184
24,184
25,185
26,185
27,187
28,187
29,189
30,190
31,190
32,191
33,192
34,193
35,192
36,193
37,194
38,196
39,196
40,198
41,197
42,199
43,200
44,200
45,201
46,202
47,203
48,204
49,204
50,205
51,207
52,208
53,208
54,210
55,211
56,211
57,213
58,213
59,213
60,214
61,216
62,216
63,217
64,219
65,220
66,220
67,223
68,222
69,223
70,225
71,225
72,227
73,229
74,229
75,231
76,232
77,232
78,232
79,234
80,235
81,235
82,238
83,239
84,239
85,240
86,242
87,243
88,243
89,244
90,247
91,248
92,249
93,250
94,252
95,251
96,253
97,255
98,256
99,257
100,258
101,260
102,261
103,262
104,263
105,264
106,265
107,267
108,268
109,269
110,270
111,271
112,274
113,276
114,276
115,278
116,279
117,280
118,281
119,282
120,284
121,284
122,288
123,288
124,289
125,291
