temperature,count
-40,12
-39,12
-38,12
-37,13
-36,13
-35,14
-34,14
-33,14
-32,14
-31,16
-30,17
-29,17
-28,16
-27,16
-26,18
-25,18
-24,18
-23,18
-22,20
-21,19
-20,21
-19,20
-18,22
-17,21
-16,21
-15,23
-14,23
-13,24
-12,24
-11,24
-10,24
-9,25
-8,26
-7,25
-6,25
-5,27
-4,27
-3,28
-2,28
-1,29
0,29
1,28
2,30
3,31
4,31
5,31
6,31
7,31
8,32
9,33
10,34
11,34
12,34
13,34
14,35
15,36
16,36
17,35
18,37
19,37
20,37
21,37
22,38
23,38
24,38
25,40
26,40
27,41
28,40
29,41
30,42
31,41
32,42
33,41
34,43
35,42
36,43
37,43
38,44
39,43
40,46
41,44
42,46
43,46
44,46
45,46
46,48
47,48
48,47
49,47
50,48
51,49
52,48
53,50
54,49
55,50
56,50
57,51
58,52
59,51
60,51
61,52
62,53
63,53
64,53
65,53
66,54
67,54
68,54
69,55
70,56
71,55
72,57
73,58
74,56
75,58
76,57
77,57
78,58
79,59
80,60
81,60
82,60
83,60
84,61
85,60
86,62
87,62
88,62
89,63
90,62
91,63
92,63
93,64
94,65
95,65
96,64
97,65
98,64
99,66
100,66
101,66
102,66
103,67
104,68
105,67
106,68
107,68
108,69
109,69
110,69
111,70
112,70
113,69
114,70
115,71
116,70
117,71
118,71
119,72
120,72
121,72
122,72
123,74
124,74
125,74
