temperature,count
-40,67
-39,67
-38,68
-37,68
-36,69
-35,70
-34,70
-33,72
-32,71
-31,74
-30,73
-29,73
-28,74
-27,76
-26,76
-25,77
-24,78
-23,78
-22,79
-21,80
-20,80
-19,81
-18,82
-17,82
-16,82
-15,83
-14,85
-13,85
-12,85
-11,86
-10,87
-9,87
-8,87
-7,88
-6,89
-5,89
-4,91
-3,92
-2,92
-1,92
0,93
1,93
2,95
3,96
4,96
5,95
6,97
7,96
8,98
9,99
10,99
11,99
12,100
13,101
14,102
15,102
16,103
17,103
18,104
19,104
20,106
21,106
22,106
23,106
24,108
25,108
26,109
27,109
28,109
29,111
30,111
31,112
32,112
33,112
34,113
35,113
36,115
37,115
38,116
39,115
40,116
41,117
42,118
43,119
44,119
45,119
46,119
47,121
48,120
49,121
50,122
51,123
52,123
53,123
54,125
55,124
56,125
57,125
58,125
59,127
60,126
61,127
62,127
63,129
64,129
65,130
66,130
67,130
68,132
69,132
70,133
71,133
72,134
73,133
74,135
75,134
76,135
77,135
78,137
79,136
80,136
81,137
82,138
83,138
84,138
85,139
86,140
87,140
88,140
89,142
90,142
91,142
92,142
93,142
94,143
95,144
96,144
97,145
98,144
99,145
100,146
101,147
102,147
103,148
104,148
105,148
106,148
107,149
108,149
109,150
110,150
111,151
112,151
113,152
114,152
115,152
116,152
117,152
118,153
119,153
120,154
121,154
122,154
123,155
124,155
125,156
